removed_feature
FTA
W_LAG1
L_LAG1
W_PCT_LAG1
REB_ROLLING_MEAN_20
AST_ROLLING_MEAN_15
AST_ROLLING_MEAN_20
FGA_ROLLING_MEAN_20
FG3M_ROLLING_MEAN_15
FG3M_ROLLING_MEAN_20
FG3A_ROLLING_MEAN_15
FG3A_ROLLING_MEAN_20
FTA_ROLLING_MEAN_5
FTA_ROLLING_MEAN_10
FTA_ROLLING_MEAN_15
FTA_ROLLING_MEAN_20
OREB_ROLLING_MEAN_20
DREB_ROLLING_MEAN_20
STL_ROLLING_MEAN_20
BLK_ROLLING_MEAN_20
PLUS_MINUS_ROLLING_MEAN_20
SHOOTING_EFFICIENCY_LAG1
