feature,importance
STL_ROLLING_STD_20,0.004505979279684807
FG_PCT_MOMENTUM_5_20,0.00450068324479485
FG3M_ROLLING_MEAN_5,0.0044929238838490445
FG3M_ROLLING_STD_10,0.0044851228020135825
FG3_PCT_ROLLING_MEAN_20,0.00448457424441438
FG3M_ROLLING_MEAN_10,0.004462564131229262
FG_PCT_ROLLING_STD_20,0.004454190450050905
FT_PCT_ROLLING_STD_20,0.0044375234359027484
FTM_ROLLING_MEAN_20,0.004348752455550023
STL_ROLLING_MEAN_10,0.00431780907233477
FT_PCT_ROLLING_MEAN_15,0.004311470732162102
FG3A_ROLLING_STD_15,0.0042701438097576885
TOV_ROLLING_STD_20,0.004267285366233845
PTS_ROLLING_STD_15,0.00426378811053531
FG3A_ROLLING_MEAN_10,0.004257742919838208
STL_ROLLING_MEAN_15,0.00425653170751441
FTA_ROLLING_STD_20,0.004248702205842829
FG3M_ROLLING_STD_20,0.004234938826493956
FG3_PCT_ROLLING_STD_15,0.004215900397939328
FG3_PCT_MOMENTUM_5_20,0.004196711358684406
FGA_ROLLING_STD_15,0.004188355027941347
FT_PCT_ROLLING_MEAN_20,0.004162422606982571
TOV_ROLLING_STD_15,0.004017147534400584
FGM_ROLLING_MEAN_20,0.003982701431295008
FGM_ROLLING_MEAN_10,0.00392365759827746
PF_ROLLING_MEAN_10,0.0038430542004224623
REB_ROLLING_STD_20,0.003821821275446656
OREB_ROLLING_MEAN_10,0.0037809157987781514
FG_PCT_ROLLING_MEAN_15,0.003664274980480446
TOV_ROLLING_MEAN_20,0.003662932156087046
REB_ROLLING_MEAN_15,0.0035301575893318393
BLK_ROLLING_MEAN_10,0.003382051118907144
BLK_ROLLING_MEAN_15,0.003318399362781848
PF_ROLLING_MEAN_20,0.003263780237114452
DAYS_REST,0.002943665989379972
OREB_ROLLING_MEAN_15,0.002926960885213834
WIN_STREAK,0.002527151556822169
IS_HOME,0.002419111173954849
LOSS_STREAK,0.0020696352606945734
