feature,importance
FG3_PCT_ROLLING_MEAN_20,0.004144991101002842
REB_MOMENTUM_5_20,0.0041176271642961145
FG3M_ROLLING_STD_15,0.004103507115268429
FG3_PCT_ROLLING_STD_20,0.004102370337082854
TOV_ROLLING_STD_20,0.004081323532491234
BLK_ROLLING_STD_15,0.004073016203681551
FG3M_ROLLING_MEAN_5,0.004072668898228904
FG3A_ROLLING_MEAN_10,0.004023960153815717
FG_PCT_ROLLING_STD_15,0.004004368908426771
PTS_ROLLING_MEAN_10,0.003964976436871301
FGM_ROLLING_MEAN_5,0.003951658656548757
FT_PCT_ROLLING_MEAN_15,0.003949213940298083
STL_ROLLING_MEAN_15,0.0038806735124488245
STL_ROLLING_STD_20,0.003833956205607181
FT_PCT_ROLLING_MEAN_20,0.003833442656933208
FG_PCT_ROLLING_MEAN_20,0.003799438888688106
PTS_ROLLING_MEAN_20,0.0037440927298603606
PLUS_MINUS_MOMENTUM_5_20,0.003733339804880796
FG_PCT_MOMENTUM_5_20,0.00367097274609416
FGM_ROLLING_MEAN_20,0.003668842817675076
FTM_ROLLING_MEAN_10,0.0036631776198674314
PF_ROLLING_MEAN_15,0.003585542393930017
TOV_ROLLING_MEAN_20,0.003577690942345069
OREB_ROLLING_MEAN_15,0.0035563515736386844
FG_PCT_ROLLING_MEAN_15,0.003503790664858477
BLK_ROLLING_MEAN_10,0.003464568845350706
FGM_ROLLING_MEAN_15,0.003450773516710285
FGA_ROLLING_STD_20,0.0034320265180981806
FG3M_ROLLING_STD_20,0.0034243520857433585
FG3M_ROLLING_MEAN_10,0.0034172564193150905
BLK_ROLLING_MEAN_15,0.003342519593082103
PTS_MOMENTUM_5_20,0.0032387374698766274
DAYS_REST,0.003198142705969247
LOSS_STREAK,0.0031470515975662644
FGM_ROLLING_MEAN_10,0.002990901710546033
FTM_ROLLING_MEAN_20,0.002954268835313137
FTM_ROLLING_MEAN_15,0.002814185713876409
WIN_STREAK,0.0018183053063976814
IS_HOME,0.0016551684998323563
