target,feature_set,n_features,mae,rmse,mape,r2,mean_error,mean_over_prediction,mean_under_prediction
REB,hybrid,31,5.432418302538459,6.95856271983269,12.991363987611294,0.035757063508666476,-0.23271392766533933,5.443094792420373,-5.422655753424649
REB,random_forest,166,5.435969311522727,6.976110726820104,13.001158688154504,0.030887702560703056,-0.2907860628429321,5.340569954325864,-5.524634596446871
REB,top_20_rf,20,5.50002102374525,7.014651377696383,13.183110662163916,0.020150088482817408,-0.1901576687988172,5.679245153551402,-5.342686863991757
REB,top_10_rf,10,5.449856856118261,7.042091198265824,13.117915909219555,0.01246916687237154,-0.1787905518081034,5.613343337057571,-5.325566393653407
REB,pvalue,9,5.528410661308688,7.13878472103477,13.298965288420572,-0.014836187295295122,-0.119807638555148,5.520814703723531,-5.535703991101609
REB,intersection,9,5.536315851957384,7.157281614864272,13.318462255875668,-0.020101967560293366,-0.12277519627670112,5.45791393974364,-5.61345321719994
