target,feature_set,n_features,mae,rmse,mape,r2,mean_error,mean_over_prediction,mean_under_prediction
PTS,hybrid,38,9.74842077176537,12.129835697342427,8.670596839707134,0.07938051255313039,0.3204483136972897,9.987668528321832,-9.505250920839131
PTS,top_20_rf,20,9.870611602298284,12.217008228693908,8.769189377545052,0.0661006782468262,0.3083812273413572,10.096904177787708,-9.640609312456574
PTS,random_forest,166,9.915508910370846,12.312840660292656,8.842403372028349,0.05139186249457395,0.6166026516231743,10.322308542830793,-9.491829625111732
PTS,top_10_rf,10,9.867640434261183,12.347195502633713,8.778402235831981,0.046090933387025856,0.36438539725088326,10.068313418207874,-9.660333632663361
PTS,pvalue,18,10.119758512313748,12.657070956579432,9.055246462398243,-0.00239007244523326,1.0367482328683946,10.720705700448466,-9.467883596371005
PTS,intersection,18,10.125260843135347,12.692392259607146,9.063171142205867,-0.007992494348521895,1.0864406438307113,10.815994375661374,-9.382066535987088
